time,open,close,low,high,TradingVolume_usd
2021-09-05,46993.31,51784.16,46544.74,51890.18,793137.0073321699
2021-09-12,51784.16,46049.72,43904.42,52919.24,2304957.0501967254
2021-09-19,46049.72,47251.76,43511.3,48808.0,6587417.6280009765
2021-09-26,47251.76,43201.79,39767.17,47340.49,7290510.037849984
2021-10-03,43201.79,48234.05,40790.67,49185.34,10806930.256669763
2021-10-10,48234.05,54700.24,46944.28,56473.63,25306626.72105024
2021-10-17,54700.24,61520.54,54098.22,62889.98,56380896.58634505
2021-10-24,61520.54,60863.56,59529.34,66980.66,89425098.95966133
2021-10-31,60863.56,61349.75,58128.18,63709.97,56610052.91897074
2021-11-07,61349.75,63302.78,59554.88,64283.57,65327258.43296893
2021-11-14,63302.78,65509.06,62315.02,68978.64,107952953.12926745
2021-11-21,65509.06,58700.83,55655.03,66335.42,59998775.33378595
2021-11-28,58700.83,57331.41,53436.05,59437.04,124417819.95830339
2021-12-05,57331.41,49465.5,43563.07,59226.33,124203820.83548243
2021-12-12,49465.5,50109.99,46829.85,51953.27,68923320.8945094
2021-12-19,50109.99,46697.13,45505.02,50215.42,129659988.06563085
2021-12-26,46697.13,50790.88,45586.49,51863.56,155511281.37590036
2022-01-02,50790.88,47306.41,45665.44,52079.46,152032860.81466928
2022-01-09,47306.41,41869.6,40534.37,47572.23,186001833.70640966
2022-01-16,41869.6,43100.36,39667.6,44442.67,173693931.09057727
2022-01-23,43100.36,36288.15,34130.35,43513.14,75941036.67425169
2022-01-30,36288.15,37908.44,32990.72,38930.36,69271866.5242995
2022-02-06,37908.44,42412.41,36270.47,42671.81,69452323.38384622
2022-02-13,42412.41,42069.84,41689.77,45837.02,70852426.44861111
2022-02-20,42069.84,38397.25,38019.97,44771.91,36840395.6068801
2022-02-27,38397.25,37714.96,34349.58,40228.13,303694423.44491273
2022-03-06,37714.96,38428.92,37473.3,45069.78,994323193.1981972
2022-03-13,38428.92,37796.31,37191.99,42557.95,671119639.6609005
2022-03-20,37796.31,41243.16,37566.52,42367.55,180941162.67547685
2022-03-27,41243.16,46842.14,40555.57,46896.6,818343835.9304259
2022-04-03,46842.14,46414.26,44256.66,48208.48,389164967.6933387
2022-04-10,46414.26,42153.77,41921.59,47187.66,535987257.92096925
2022-04-17,42153.77,39688.16,39229.4,42422.86,322083314.0894812
2022-04-24,39688.16,39466.26,38569.14,42996.5,156894690.03961226
2022-05-01,39466.26,38480.53,37461.76,40797.85,89773665.31888339
2022-05-08,38480.53,34033.77,33732.4,40004.37,164423568.57937333
2022-05-15,34033.77,31296.11,25835.61,34229.57,421918284.7298714
2022-05-22,31296.11,30264.29,28610.2,31296.19,64051776.669406705
2022-05-29,30264.29,29452.23,28060.72,30634.84,68710993.3384015
2022-06-05,29452.23,29897.9,29249.37,32367.02,49262893.21702229
2022-06-12,29897.9,26587.35,26570.67,31740.27,108111136.32035086
2022-06-19,26587.35,20553.48,17600.75,26871.6,180902731.17776912
2022-06-26,20553.48,21031.85,19616.32,21855.84,87324580.79447395
2022-07-03,21031.85,19294.21,18622.86,21505.42,150165394.93094563
2022-07-10,19294.21,20846.53,19036.44,22377.17,81442263.41778539
2022-07-17,20846.53,20792.81,18919.1,21658.47,121920079.43965589
2022-07-24,20792.81,22585.4,20760.73,24276.14,196881837.11031276
2022-07-31,22585.4,23308.14,20733.24,24619.11,127631304.79162623
2022-08-07,23308.14,23179.86,22418.27,23615.71,102314555.39685735
2022-08-14,23179.86,24313.71,22674.6,25012.36,160358725.68520674
2022-08-21,24313.71,21514.79,20772.5,25203.38,166416840.72517508
2022-08-28,21514.79,19554.08,19527.69,21879.03,180801472.24496853
2022-09-04,19554.08,20003.46,19548.16,20574.12,149613072.74209166
2022-09-11,20003.46,21836.45,18559.15,21850.77,199369935.4996675
2022-09-18,21836.45,19417.72,19345.98,22767.89,798782941.8153338
2022-09-25,19417.72,18809.94,18189.92,19744.77,391071413.9311816
2022-10-02,18809.94,19058.15,18494.71,20377.45,389943789.95337623
2022-10-09,19058.15,19442.41,18988.8,20459.26,296345566.1972725
2022-10-16,19442.41,19264.26,18229.27,19946.24,221587842.22026393
2022-10-23,19264.26,19572.6,18696.2,19698.1,157771112.60797983
2022-10-30,19572.6,20630.65,19164.18,21064.84,195113924.94950318
2022-11-06,20630.65,20910.59,20040.32,21471.49,131595614.49627355
2022-11-13,20910.59,16307.47,15546.97,21066.63,945820685.6919794
2022-11-20,16307.47,16253.6,15797.71,17157.81,329831748.26655287
2022-11-27,16253.6,16420.87,15480.69,16787.9,613783312.6260993
2022-12-04,16420.87,17111.76,16000.76,17255.22,429317053.12672913
2022-12-11,17111.76,17094.83,16713.28,17409.45,130385695.32368053
2022-12-18,17094.83,16742.74,16593.68,18344.32,370852971.43164814
2022-12-25,16742.74,16829.1,16350.32,17028.68,199472983.30179015
2023-01-01,16829.1,16613.87,16364.76,16960.3,52867625.16149696
2023-01-08,16613.87,17115.81,16544.15,17132.21,52681119.24018387
2023-01-15,17115.81,20878.94,17103.2,21255.15,782911358.6043991
2023-01-22,20878.94,22714.99,20411.68,23327.14,348630985.3940284
2023-01-29,22714.99,23747.26,22354.6,23948.42,379275552.9679664
2023-02-05,23747.26,22940.79,22577.01,24229.18,521513406.56031907
2023-02-12,22940.79,21790.14,21495.4,23407.79,618321231.7805555
2023-02-19,21790.14,24287.53,21407.31,25233.22,628049977.4178406
2023-02-26,24287.53,23557.39,22809.89,25216.35,500047689.3699845
2023-03-05,23557.39,22433.65,22147.42,23962.77,256615138.29304054
2023-03-12,22433.65,22180.75,19597.37,22596.13,599250714.3319277
2023-03-19,22180.75,28037.32,21897.79,28448.08,993155273.1560888
2023-03-26,28037.32,27996.81,26681.65,28877.16,830692733.3337965
2023-04-02,27996.81,28186.76,26565.75,29172.9,1138548923.459791
2023-04-09,28186.76,28341.05,27290.26,28781.48,856533694.1628435
2023-04-16,28341.05,30322.77,28185.87,31023.78,824955890.2681252
2023-04-23,30322.77,27596.71,27149.05,30487.36,657227981.2417063
2023-04-30,27596.71,29234.41,27015.4,30017.37,502627952.42493844
2023-05-07,29234.41,28574.43,27679.83,29857.86,392185145.34930027
2023-05-14,28574.43,26932.09,25848.3,28785.25,417541373.72157705
2023-05-21,26932.09,26755.7,26394.46,27668.25,216062493.31039274
2023-05-28,26755.7,28077.15,25879.36,28253.91,170582072.08343273
2023-06-04,28077.15,27126.86,26521.49,28456.94,169727924.00213987
2023-06-11,27126.86,26450.26,25378.79,27420.01,382647040.5656361
2023-06-18,,,,,97594192.53219572
